Date,Startup,Industry,Locations,Investors,Type,Turnover
2019-06-05,Nobroker,Ecommerce,Bangalore,General Atlantic,Series C,510
2019-06-04,Bira91,Food Beverages,New-Delhi,Anicut Capital,Debt,100
2019-06-03,Avail Finance,Finance,Bangalore,Matrix Partners,Series A,90
2019-06-04,Bharatpe,Finance,New-Delhi,Insight Partners,Series B,750
2019-06-04,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",Series A,260
2019-06-03,Agara Labs,Deep-Tech,Bangalore,Blume Ventures And Rtp Global,Series A,25
2019-06-06,Chakr Innovation,Energy,New-Delhi,Ian Fund,Series A,260
2019-06-06,Pratilipi,Digital Media,Bangalore,Qiming Venture Partners,Series B,0
2019-06-10,Bolo App,Digital Media,Bangalore,Nexus Venture Partners,Seed,4
2019-06-10,Okcredit,Fintech,Haryana,Tiger Global Management,Series A,155
2019-06-06,Biz2Credit,Fintech,New-York,Westbridge Capital,Series B,520
2019-06-08,Vogo Automotive,Transport,Karnataka,Alteria Capital,Debt,36
2019-06-04,Leegality,Services,"Mumbai, Bangalore",Mumbai Angels,Series A,34
2019-05-06,Ola,Transport,Bangalore,Tata Sons,Series A,0
2019-05-06,Saahas Zero Waste,Waste Management Service,Bangalore,C4D Partners,Venture,9
2019-05-05,Styledotme,Ecommerce,Delhi,"Indian Angel Network And Other Angel Investors, Innov8 Founder Ritesh Malik, Josh Talks Founders Supriya Paul And Shobha Banga, And Former Hero Corporate President Rohit Chanana",Bridge,0
2019-05-01,Blackbuck,Transport,Bangalore,"Goldman Sachs Investment Partners And Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And International Finance Corporation,",Series D,1500
2019-05-02,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,500
2019-05-28,Ather Energy,Automobile,Bangalore,Sachin Bansal,Series C,510
2019-05-28,Freshvnf,Agtech,Mumbai,Equanimity Ventures,Seed,1400
2019-05-30,Glowroad,Ecommerce,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,115
2019-05-31,Bira91,Food Beverages,New-Delhi,Sixth Sense Ventures,Series B,56
2019-04-16,Kuvera,Finance,Bangalore,Eight Roads,Series A,450
2019-04-12,Medlife,Ecommerce,Bangalore,Prasid Uno Family Trust,Private,170
2019-04-10,Kabadiwala,Ecommerce,Bhopal,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport,",Private,4
2019-04-13,Tripoto,Social Media,New-Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures Formerly Idg Ventures, 3One4 Capital, Lasmer Nv",Series B,36
2019-04-12,Azah,Health Care,Gurgaon,Unnamed Angel Investors,Seed,2
2019-04-11,Setu,Fintech,Bangalore,Lightspeed India Partners,Seed,35
2019-04-10,Toppr,Edtech,Mumbai,Milestone,"Debt, Preference Capital",63
2019-04-10,Craftsvilla,Ecommerce,Mumbai,Supera Pte Ltd,Inhouse,24
2019-04-10,Unacademy,Edtech,Bangalore,Kalyan Krishnamurthy,"Angel, Seed",3
2019-04-11,Clevertap,Saas,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,260
2019-04-19,My Healthcare,Ecommerce,"Bangalore, Gurgaon",Sixth Sense Ventures,Series A,30
2019-04-19,Krazybee,Ecommerce,Bangalore,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital",Debt,0
2019-04-17,Shuttl,Transport,Gurgaon,New Atlantic Ventures,Venture,50
2019-04-17,Increff,Tech,Bangalore,"021 Capita, Binny Bansal",Series A,30
2019-02-01,Fleetx,Artificial Intelligence,Gurgaon,India Quotient And Letsventures Angel Fund,Series A,0
2019-02-08,Zilingo,Ecommerce,"India, Singapore","Sequoia Capital And Temasek Holdings, Edbi, Burda Principal Investments, And Sofina",Series D,2260
2019-02-13,Nanoclean Global,Nanotechnology,New-Delhi,"Letsventure, Pitchright Venture, 91Springboard, Al Nour International Holdings And Mark V Investments",Series A,6
2018-02-14,Oyo,Hospitality,Gurgaon,Didi Chuxing,Equity,1000
2019-01-03,Cardekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabets Growth Investment Arm Capital G And Axis Bank",Series C,1100
2019-01-04,Vyome Therapeutics,Health Care,"India, Us","Iron Pillar, Perceptive Advisors, Romulus Capital And Kalaari Capital",Series D,220
2019-01-04,Samunnati Finance,Finance,Chennai,"Massif, A Dutch Government Fund",Debt,50
2018-12-04,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed,7
2018-12-01,Urbanclap,Services,New-Delhi,Steadview Capital And Vy Capital,Series D,500
2018-12-02,Guiddoo,Travel Tech,Mumbai,Individual Investors,Series A,8
2018-12-02,Career Anna,Online Education,Gurgaon,Individual Investors,Series A,6
2018-12-04,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India Llp,Seed,1
2018-12-06,Shopkirana,B2B,Indore,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate",Seed,20
